id,nom,type,difficulte,dureeMinutes,equipement,objectif,niveauRecommande,consigneSecurite,muscles_cibles,intensite_score,calories_estimees,text_features,type_encoded,difficulte_encoded
98,Burpees avec traction,CARDIO,AVANCE,10,Barre de traction,cardio complet force explosivité,AVANCE,Maîtriser burpees et tractions séparément,corps complet cardio force,10,160,CARDIO AVANCE cardio complet force explosivité corps complet cardio force AVANCE Barre de traction,0,0
99,Mobilité cervicale,MOBILITE,DEBUTANT,5,Aucun,mobilité cou prévention tensions,DEBUTANT,Mouvements très lents pas de rotation forcée,cou trapèzes,1,8,MOBILITE DEBUTANT mobilité cou prévention tensions cou trapèzes DEBUTANT Aucun,2,1
100,Étirements fessiers piriforme,MOBILITE,DEBUTANT,8,Tapis,souplesse fessiers sciatique prévention,DEBUTANT,Maintenir 30 secondes chaque côté,fessiers piriforme,2,12,MOBILITE DEBUTANT souplesse fessiers sciatique prévention fessiers piriforme DEBUTANT Tapis,2,1
101,Posture de l arbre yoga,MOBILITE,INTERMEDIAIRE,10,Tapis,équilibre concentration stabilité,INTERMEDIAIRE,Fixer un point devant soi,jambes core équilibre,3,25,MOBILITE INTERMEDIAIRE équilibre concentration stabilité jambes core équilibre INTERMEDIAIRE Tapis,2,2
102,Étirements bandelette IT,MOBILITE,INTERMEDIAIRE,8,Foam roller,souplesse bandelette genou prévention,INTERMEDIAIRE,Rouler lentement zone sensible,bandelette ilio-tibiale,3,15,MOBILITE INTERMEDIAIRE souplesse bandelette genou prévention bandelette ilio-tibiale INTERMEDIAIRE Foam roller,2,2
103,Mobilité scapulaire,MOBILITE,INTERMEDIAIRE,8,Aucun,mobilité omoplates posture épaules,INTERMEDIAIRE,Rétracter et protracter les omoplates,rhomboïdes trapèzes serratus,3,15,MOBILITE INTERMEDIAIRE mobilité omoplates posture épaules rhomboïdes trapèzes serratus INTERMEDIAIRE Aucun,2,2
104,Étirements complets post-entraînement,MOBILITE,DEBUTANT,15,Tapis,récupération complète souplesse globale,DEBUTANT,Maintenir chaque position 20-30 secondes,corps complet,2,30,MOBILITE DEBUTANT récupération complète souplesse globale corps complet DEBUTANT Tapis,2,1
105,Dribble entre les jambes,TECHNIQUE,AVANCE,10,Ballon,dribble avancé feinte technique,AVANCE,Vitesse progressive maîtrise avant accélération,jambes coordination pieds,7,60,TECHNIQUE AVANCE dribble avancé feinte technique jambes coordination pieds AVANCE Ballon,3,0
106,Tir enroulé,TECHNIQUE,AVANCE,12,Ballon but,tir effet courbe technique finition,AVANCE,Frapper avec l intérieur du pied effet latéral,quadriceps coordination pied,8,80,TECHNIQUE AVANCE tir effet courbe technique finition quadriceps coordination pied AVANCE Ballon but,3,0
107,Exercice de dédoublement,TECHNIQUE,INTERMEDIAIRE,12,Ballon cônes,mouvement collectif appel course,INTERMEDIAIRE,Timing de la course communication,jambes coordination tactique,6,75,TECHNIQUE INTERMEDIAIRE mouvement collectif appel course jambes coordination tactique INTERMEDIAIRE Ballon cônes,3,2
108,Jeu aérien tête défensive,TECHNIQUE,INTERMEDIAIRE,10,Ballon,jeu de tête défense dégagement,INTERMEDIAIRE,Sauter avec les bras le long du corps,cou trapèzes jambes,5,60,TECHNIQUE INTERMEDIAIRE jeu de tête défense dégagement cou trapèzes jambes INTERMEDIAIRE Ballon,3,2
109,Exercice de transition rapide,TECHNIQUE,AVANCE,15,Ballon chasubles,transition attaque défense vitesse,AVANCE,Réactivité immédiate après perte de balle,corps complet tactique cardio,8,120,TECHNIQUE AVANCE transition attaque défense vitesse corps complet tactique cardio AVANCE Ballon chasubles,3,0
110,Passe en profondeur,TECHNIQUE,INTERMEDIAIRE,10,Ballon,passe longue profondeur vision,INTERMEDIAIRE,Lever la tête avant la passe,jambes coordination vision,5,55,TECHNIQUE INTERMEDIAIRE passe longue profondeur vision jambes coordination vision INTERMEDIAIRE Ballon,3,2
111,Pompes pike,FORCE,INTERMEDIAIRE,8,Aucun,épaules force poussée verticale poids du corps,INTERMEDIAIRE,Hanches hautes tête entre les bras,deltoïdes triceps trapèzes,7,65,FORCE INTERMEDIAIRE épaules force poussée verticale poids du corps deltoïdes triceps trapèzes INTERMEDIAIRE Aucun,1,2
112,Hollow body hold,FORCE,INTERMEDIAIRE,6,Tapis,core stabilité anti-extension,INTERMEDIAIRE,Bas du dos collé au sol,abdominaux transverse,6,40,FORCE INTERMEDIAIRE core stabilité anti-extension abdominaux transverse INTERMEDIAIRE Tapis,1,2
113,Bear crawl,FORCE,INTERMEDIAIRE,8,Aucun,coordination force fonctionnelle déplacement,INTERMEDIAIRE,Genoux à 2cm du sol dos plat,épaules core quadriceps,6,70,FORCE INTERMEDIAIRE coordination force fonctionnelle déplacement épaules core quadriceps INTERMEDIAIRE Aucun,1,2
114,Handstand wall hold,FORCE,AVANCE,6,Mur,équilibre force épaules inversion,AVANCE,Commencer face au mur corps gainé,deltoïdes trapèzes core,8,45,FORCE AVANCE équilibre force épaules inversion deltoïdes trapèzes core AVANCE Mur,1,0
115,Muscle-up,FORCE,AVANCE,10,Barre de traction,force complète tirage poussée transition,AVANCE,Maîtriser tractions et dips avant,dorsaux pectoraux triceps,10,100,FORCE AVANCE force complète tirage poussée transition dorsaux pectoraux triceps AVANCE Barre de traction,1,0
116,Thrusters,FORCE,AVANCE,10,Haltères,force complète squat poussée puissance,AVANCE,Squat complet puis poussée explosive,quadriceps épaules triceps,9,120,FORCE AVANCE force complète squat poussée puissance quadriceps épaules triceps AVANCE Haltères,1,0
117,Marche en canard,CARDIO,INTERMEDIAIRE,6,Aucun,jambes mobilité cardio fonctionnel,INTERMEDIAIRE,Rester bas cuisses parallèles au sol,quadriceps fessiers adducteurs,7,60,CARDIO INTERMEDIAIRE jambes mobilité cardio fonctionnel quadriceps fessiers adducteurs INTERMEDIAIRE Aucun,0,2
118,Jumping lunges,CARDIO,AVANCE,8,Aucun,puissance jambes cardio pliométrie,AVANCE,Atterrir en douceur alterner les jambes,quadriceps fessiers mollets,9,110,CARDIO AVANCE puissance jambes cardio pliométrie quadriceps fessiers mollets AVANCE Aucun,0,0
119,Skater jumps,CARDIO,INTERMEDIAIRE,8,Aucun,agilité latérale cardio équilibre,INTERMEDIAIRE,Atterrir sur un pied stabiliser,adducteurs fessiers mollets,7,90,CARDIO INTERMEDIAIRE agilité latérale cardio équilibre adducteurs fessiers mollets INTERMEDIAIRE Aucun,0,2
120,High knees sprint sur place,CARDIO,INTERMEDIAIRE,6,Aucun,cardio vitesse coordination échauffement,INTERMEDIAIRE,Monter les genoux au-dessus des hanches,quadriceps abdominaux cardio,7,80,CARDIO INTERMEDIAIRE cardio vitesse coordination échauffement quadriceps abdominaux cardio INTERMEDIAIRE Aucun,0,2
